taxon;lon;lat
"Ilex paraguariensis A.St.-Hil.";-43.0133333;-22.4638889
"Ilex paraguariensis A.St.-Hil.";-42.8522222;-22.2686111
"Ilex paraguariensis A.St.-Hil.";-43.0130556;-22.4636111
"Ilex paraguariensis A.St.-Hil.";-52.3111111;-24.1097222
"Ilex paraguariensis A.St.-Hil.";-43.8833333;-21.7166667
"Ilex paraguariensis A.St.-Hil.";-54.5636111;-18.935
"Ilex paraguariensis A.St.-Hil.";-41.9638889;-13.5258334
"Ilex paraguariensis A.St.-Hil.";-50.3666667;-22.5833333
"Ilex paraguariensis A.St.-Hil.";-49.8791667;-27.9166667
"Ilex paraguariensis A.St.-Hil.";-52.38;-26.64
"Ilex paraguariensis A.St.-Hil.";-49.0158333;-25.4455555
"Ilex paraguariensis A.St.-Hil.";-41.9116667;-21.9
"Ilex paraguariensis A.St.-Hil.";-42.5638889;-22.3591667
"Ilex paraguariensis A.St.-Hil.";-49.2108333;-27.1116667
"Ilex paraguariensis A.St.-Hil.";-43.8936111;-21.6844445
"Ilex paraguariensis A.St.-Hil.";-48.4669445;-23.9580556
