"group.all" "pa" "lon" "lat" "X1Km_.eigenvariables.1" "X1Km_.eigenvariables.2" "X1Km_.eigenvariables.3" "X1Km_.eigenvariables.4" "X1Km_.eigenvariables.5" "X1Km_.eigenvariables.6" "X1Km_.eigenvariables.7" "X1Km_.eigenvariables.8" "X1Km_.eigenvariables.9" "X1Km_.eigenvariables.10"
"5" 3 0 -63.315559082 -9.078896484 22.2641829945817 -12.0774867846746 -13.9317904866583 7.02737887371825 -5.19713706163674 1.44345730988222 -0.592935209076437 7.90410285690687 1.86953127091473 2.1380736806116
"6100" 3 0 -73.325559082 -7.418896484 22.5739514180309 -10.0496971744093 -13.4368072755938 7.53983819016873 -3.76364823708483 2.3740682448534 -0.369501764946254 9.39312734858849 2.77931359751409 2.92523288460164
"7100" 2 0 -67.685559082 -3.398896484 24.2619207167279 -7.76871403189339 -12.2133604459853 7.33438199592562 -5.19143974853057 0.616981395910775 0.425531452623359 9.47073133981998 3.7496970591925 3.37631759875273
"8" 1 0 -56.775559082 -6.288896484 22.0523916144236 -11.5088655716558 -13.9521057862795 6.82287389024889 -5.96426755275073 1.10834563622931 -0.786840133076259 7.63354861855291 3.44184252676396 3.431787346659
"9100" 1 0 -44.665559082 -16.408896484 15.9313282594834 -13.9783060372962 -14.7012284600658 7.13089140720352 -4.91612079665436 0.882529997050179 -0.0182804894842729 8.25044080984985 2.88521040969846 4.43494153819019
"1010" 1 0 -52.225559082 -1.438896484 24.6501374597373 -11.7387676474282 -11.8723455478034 6.559332242118 -4.7122260474636 1.67106302775221 -0.562285403179973 7.86644093133368 1.56243269092203 3.4074675924046
"1110" 1 0 -66.165559082 -6.628896484 23.3428671435672 -10.7388850992589 -13.4038804076765 6.9446503100313 -5.42413044180153 1.36463143001755 -0.683462963821198 8.47436343699595 4.85830940112098 2.23487623108505
"1210" 3 0 -53.835559082 -6.408896484 21.3626797347535 -12.5707611920915 -13.9672064004823 5.66498129784565 -6.19691314173905 1.30897151015721 -1.1433331251821 7.77368022403848 3.3069533913071 4.13175785021753
"13" 2 0 -51.155559082 -5.928896484 20.9344601028589 -11.954180250269 -13.0521224670967 5.70779426259101 -4.23904984760011 1.11515560244652 0.00402109579953303 8.04558656608921 1.93501327261598 4.51377631489029
"1410" 1 0 -42.335559082 -14.148896484 15.7752573928227 -14.0253882058077 -11.3895719577082 5.77871292047135 -4.07405492591495 1.28148624195375 0.307174814203734 9.06556926800878 1.79519788694213 3.28052957217853
"1510" 3 0 -44.585559082 -12.578896484 16.3164365330089 -14.6905501001539 -13.587960248855 6.5506156676976 -4.78166347324256 0.850224260714075 0.218591806490351 8.96765537528513 3.32799214043118 4.68183644890192
"16" 2 0 -71.855559082 -7.798896484 21.7081874951179 -10.7775933556832 -12.8482080283286 7.39731851413504 -4.5502786970273 1.60323144496876 0.236647679883586 9.54428564394291 1.78421238112751 2.72726361464629
"1710" 2 0 -42.585559082 -20.958896484 11.5193649278501 -8.23806214942388 -14.5576931332204 1.16655063785188 -5.95783051618407 1.84289278536886 -2.11074302075751 10.0300786427423 1.61992995999141 1.86561802533337
"1810" 1 0 -65.105559082 -7.398896484 22.7293547249041 -11.8236130538996 -12.7173607993035 7.50828358768664 -3.86511021708271 2.51128272400869 -0.600955570839807 9.09945019400216 2.55671931864448 2.63861808414762
"1910" 3 0 -71.185559082 -5.198896484 23.2932396416952 -9.04303222009881 -12.6101096538385 7.48569489163504 -4.04066900655238 2.54937557928911 -0.160823617120801 10.3496143219443 3.06837228344344 3.46849995863678
"2010" 2 0 -57.355559082 1.801103516 22.6163745787314 -12.3935267616393 -12.839859380879 5.17474368956553 -6.04241892017638 1.54807799073455 -1.14465015118301 8.20341420131338 2.61591423835648 3.54862222135181
"2110" 1 0 -44.495559082 -7.268896484 20.0113940761459 -15.6855734537738 -11.3795862607989 7.64494702107291 -2.96347563672559 2.79763500640135 -1.39385776249037 8.69426183119758 3.76658711799777 3.24307842299257
"2210" 1 0 -40.245559082 -7.298896484 15.6936319867153 -14.2216108805441 -10.8281296384599 4.45556483415016 -3.95295587609534 0.916536894086032 0.28103391700924 8.73977061682102 2.06832226114332 3.68713558019547
"2310" 2 0 -49.115559082 -14.218896484 19.9728988067811 -13.4293570600284 -13.3365016490285 5.55234406906586 -4.65180013452501 1.13540431337727 -0.346320020166884 7.63083487388597 1.97763425739105 2.93693839989522
"2410" 3 0 -51.055559082 -5.658896484 21.645819906737 -12.7045503751723 -12.7169823475785 5.35784814815863 -5.63752207860936 1.29734727093157 -0.723213511505863 7.94792492969089 3.16162826568396 4.31113056727866
"25" 1 0 -45.035559082 -22.308896484 12.4749617492476 -9.22197079699007 -15.7640352861259 3.17886713586589 -5.96528493539508 1.64800049200723 -1.87504224329534 9.52047627571676 3.05007963194683 1.77859514465625
"26" 1 0 -58.265559082 -0.628896484 24.0682670828174 -10.3847065850673 -12.395725722201 6.06818562375589 -4.47762022282762 1.41494829299205 -0.19460191935309 8.20935936099994 1.73367309863967 3.79976357091437
"27" 1 0 -41.625559082 -18.028896484 16.5141123540897 -12.6374000586233 -12.8062111647128 6.63967898039207 -4.95147635540727 1.28094971975762 -0.162640286639471 8.37862350281492 2.35558592038692 3.42681674066911
"28" 2 0 -38.655559082 -7.638896484 17.2076905409487 -14.3795047385848 -11.1308415855414 5.8259630349937 -4.36676278114297 1.01970425944446 0.095197266191506 8.23696136906613 2.14708991074021 3.33471835014261
"29" 3 0 -73.215559082 -6.608896484 22.7070756486142 -9.87568613876086 -13.2705357173306 7.41320232242203 -5.9150763309797 1.180473913026 -0.10739793996128 9.70495506856128 4.46021514480611 2.83176006863053
"30" 2 0 -57.935559082 -2.448896484 24.1335546518435 -11.5817714191255 -11.047750623468 6.41754257665455 -5.63179217681922 1.20666003275953 -0.736390966164981 7.81912413814973 3.18657988898559 3.17316428952689
"31" 1 0 -43.435559082 -7.408896484 20.1501901871474 -16.3580184727249 -11.3598909046905 7.44226674863268 -5.1225813518406 1.29330747457226 -0.0625667418030411 8.9032908630099 2.32837951544995 3.83735399949073
"32" 1 0 -59.655559082 -1.668896484 25.4879576161461 -10.1823017028457 -12.2716735953025 6.35054226742544 -4.35821327234057 2.4033839317983 -1.03251652720677 8.27633701941162 2.95121983012591 3.48286774759959
"33" 1 0 -58.975559082 -0.948896484 24.793742133401 -10.9243259465643 -12.1326674925429 6.38670151381628 -4.32508289853357 2.25244705098094 -0.909815104317593 8.31860148519336 3.1096725298724 3.42975708034262
"34" 2 0 -46.745559082 -13.568896484 19.4801108052849 -14.9100238595139 -12.1596030760131 6.37268144044286 -5.31593511004497 1.09757845925382 -0.470439125788507 8.05885806431088 3.77704006104269 3.22167407980774
"35" 3 0 -62.695559082 -11.118896484 20.1310360449022 -13.1338548068163 -14.2606817679976 6.9585208015132 -5.96361002366857 1.33822830119832 -0.966962917565705 7.93652266689271 3.07613022054096 3.61398785871871
"36" 3 0 -45.855559082 -20.468896484 14.9931370704808 -10.6715188387774 -15.2149801357253 5.64379042747257 -4.37822544150883 1.23845074130127 -0.167274090219083 8.62667543725026 1.76308307373203 3.02242497370472
"37" 1 0 -59.915559082 -0.458896484 24.012722239665 -10.5980323671201 -11.7810135880199 6.28480300731273 -3.73256547461157 2.30309144670771 -0.617493410947482 8.6052333982871 2.7970701754935 4.00358726728622
"38" 1 0 -55.565559082 -0.688896484000001 23.0471706711425 -10.6863292359905 -12.3443457550473 5.86235021465858 -5.81081171754682 1.10942803348381 -0.654856121737439 8.12308150661523 4.21771073916909 3.91305720432954
"39" 1 0 -41.195559082 -6.958896484 18.6805090168358 -16.8624402188947 -10.5082253218997 7.13010565504009 -4.97077340908875 0.929518170137956 -0.0930484822095961 8.36982077339164 2.8317687309863 3.86111081922395
"40" 3 0 -41.115559082 -17.988896484 17.7491805477679 -13.251432513955 -11.5145289950496 7.98926356571524 -4.92098625471326 1.18921428590215 -0.0246352715391436 8.45032468364315 2.35976750794448 3.17794810690838
"41" 1 0 -53.155559082 1.181103516 22.8620772361903 -10.5374983137585 -12.2402341827315 5.68975927146608 -5.69695004028258 0.820871592127752 -0.726699325343273 7.38951693235762 3.61414370749796 3.2915818604505
"42" 1 0 -47.705559082 -20.998896484 15.99694238084 -10.3119696216655 -14.2565253373038 6.01773550685394 -4.72239627088941 0.620697774525819 0.134804454094876 8.46473658699986 3.41072615037379 2.01773925658993
"43" 3 0 -56.815559082 -2.218896484 24.9511400767297 -12.1077222024412 -11.5950430299053 5.74784069230406 -5.4673445120271 1.54672364810007 -1.05584333021309 7.03974337325082 1.90113117183441 3.19694033464502
"44" 1 0 -43.875559082 -20.788896484 14.3583882385849 -10.0692712021431 -14.4449095105372 4.95867568597119 -3.70724216644653 0.638677934165321 -0.0521427548227033 7.48198752187856 4.56932630007919 2.58771885941405
"45" 3 0 -55.675559082 -5.008896484 23.1001498972549 -11.1641698950947 -13.182876437589 6.11498454368428 -5.49340252596364 1.46156800543093 -0.644695127249816 8.17295113375453 2.3788664735232 3.73012942456638
"46" 1 0 -46.585559082 -8.498896484 19.1055599580962 -14.7858112327545 -12.4817118161049 6.61187330241371 -5.14287429215788 1.26496771021497 -0.250970129062163 8.60226894720212 2.43356106796001 4.21956148925684
"47" 1 0 -39.615559082 -7.738896484 17.4116220791588 -15.1137717007183 -10.3905292105291 7.1280267498375 -3.42872838886941 0.0066067938132886 0.839969269256352 8.28353096274562 2.68027176193134 2.92989139348847
"48" 2 0 -54.755559082 0.941103516 22.3520031522682 -11.7944041223093 -12.343454772555 5.43631672013572 -4.97506649612682 1.23136113134664 -0.540838392323737 7.38430553266684 2.11380593207126 3.9663503462329
