"group.all" "pa" "lon" "lat" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6"
"26" 2 0 -40.29917289 -4.825837543 -8.94481644512494 9.62568106626634 -1.26451195636387 -6.64270932830636 -1.380754997342 -7.3356646102579
"27" 2 0 -59.39917289 -28.825837543 -7.4427971973641 7.36842501929494 3.95573660509567 -7.82127032183873 -0.685695375744281 -6.30318033325772
"28" 3 0 -59.09917289 -16.825837543 -10.4950245298222 8.01415894570884 2.04157843856032 -9.09248760700853 -1.98899131640087 -6.68271998686798
"29" 5 0 -56.09917289 -14.925837543 -10.0093131835924 7.50702835630048 1.11945321073498 -8.31096857325481 -2.37630125334957 -6.21636971418154
"30" 4 0 -36.39917289 -8.525837543 -7.83471647130442 7.90942787132499 0.587149534289189 -5.70296185667461 -1.68458312893562 -6.55508616136463
"31" 2 0 -44.19917289 -16.425837543 -8.06514930854003 7.90566677467842 0.289741397564821 -9.12594438185981 -1.40209081028459 -6.94398644727618
"32" 2 0 -37.89917289 -7.225837543 -9.86394072173151 8.88699915001832 -0.100259186786298 -7.79826265986079 -1.34033240093199 -6.45619881619711
"33" 1 0 -48.29917289 -5.625837543 -11.6815138429959 8.22980911946175 -0.280345110020664 -7.75598328613961 -0.0774898141670983 -7.23653666875793
"34" 4 0 -50.39917289 -24.225837543 -7.80092526270322 4.6051653786045 2.77110442723685 -8.05939186238423 -1.50745889078269 -6.54030680709087
"35" 7 0 -42.99917289 -21.925837543 -9.01488709755699 6.75350521311761 1.93936834829866 -9.42147831745537 -1.32323242148243 -5.7107417540442
"36" 7 0 -56.39917289 -31.825837543 -6.8819435502798 5.20036541374197 4.78163026419982 -7.35249306135569 -0.345671992267639 -6.60999449920781
"37" 1 0 -43.19917289 -4.225837543 -11.4443881963931 9.19885926458658 -0.217056436562371 -7.95087613896818 0.12584480164484 -7.21318221384807
"38" 1 0 -45.59917289 -4.925837543 -10.5553120120321 9.32814620845701 -0.283920718182493 -7.60981476747648 -1.18424233845597 -6.95979817972998
"39" 3 0 -39.79917289 -15.625837543 -9.13474218110262 7.60873413157148 1.3787737328438 -5.52852825721524 -1.79349015648391 -6.27197596620009
"40" 7 0 -54.89917289 -28.825837543 -9.15984996484694 4.5172596657369 4.82382724439155 -7.50324264434652 -0.724738242207224 -7.2076757913514
"41" 1 0 -48.09917289 -6.125837543 -10.9619220392624 8.5718848012852 0.192624424835427 -8.01215576446598 -1.23951815173756 -6.71782840519401
