"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.93895461;0.93895461;0.89385231;0.68137391;0.93895461;0.89419414;0.776576576576577;0.580780780780781;"maxent";1
0.00761434;0.00761434;0.00610074;0.01391055;0.00789079;0.00615127;0.439520958083832;0.183233532934132;"svm";1
0.79227914;0.79227914;0.79227914;0.56519868;0.81641843;0.79252787;0.446706586826347;0.362275449101797;"maxent";2
0.00860616;0.00860616;0.00860616;0.01359366;0.00933785;0.00871874;0.797597597597598;0.684684684684685;"svm";2
0.99053367;0.69958867;0.69958867;0.02713996;0.80875065;0.70032878;0.672672672672673;0.429429429429429;"maxent";3
0.00628626;0.00628626;-0.00466334;0.01455437;0.00800966;-0.00439114;0.467267267267267;0.175375375375376;"svm";3
