taxon;lon;lat
"Eugenia splendens O.Berg";-43.31;-17.08
"Eugenia splendens O.Berg";-41.3125;-13.0625
"Eugenia splendens O.Berg";-41.316667;-12.883333
"Eugenia splendens O.Berg";-41.316111;-12.961389
"Eugenia splendens O.Berg";-41.316111;-12.961389
"Eugenia splendens O.Berg";-41.349167;-12.988889
"Eugenia splendens O.Berg";-41.326667;-12.995278
"Eugenia splendens O.Berg";-41.326667;-12.995278
"Eugenia splendens O.Berg";-41.370278;-13.018611
"Eugenia splendens O.Berg";-43.329444;-19.373333
"Eugenia splendens O.Berg";-43.898056;-18.439444
"Eugenia splendens O.Berg";-43.920278;-18.188611
"Eugenia splendens O.Berg";-43.920278;-18.188611
"Eugenia splendens O.Berg";-41.385;-12.995556
"Eugenia splendens O.Berg";-41.7547222;-21.8113889
"Eugenia splendens O.Berg";-41.3161111;-12.9613889
"Eugenia splendens O.Berg";-41.8286111;-13.5977777
"Eugenia splendens O.Berg";-41.3422222;-12.9747223
"Eugenia splendens O.Berg";-68.1380556;-9.7261111
"Eugenia splendens O.Berg";-43.0088889;-16.9436111
"Eugenia splendens O.Berg";-55.8333333;-1.7
"Eugenia splendens O.Berg";-41.45;-12.45
"Eugenia splendens O.Berg";-41.3538889;-12.9947222
"Eugenia splendens O.Berg";-41.8666667;-13.2833333
