"group.all" "pa" "lon" "lat" "wc2.0_bio_10m_04" "wc2.0_bio_10m_05" "wc2.0_bio_10m_13" "wc2.0_bio_10m_14"
"94" 3 0 -51.9166666666667 -32.0833333333333 404.042254318394 27.2678565979004 124 62
"95" 2 0 -48.4166666666667 -23.0833333333333 233.340051195472 28.3185005187988 217 36
"96" 1 0 -53.5833333333333 -27.4166666666667 393.695457320316 29.7544994354248 197 136
"97" 1 0 -53.25 -30.0833333333333 410.352178687156 29.7030010223389 142 110
"98" 2 0 -50.75 -30.9166666666667 358.96173536125 27.4873714447021 141 86
"99" 2 0 -53.5833333333333 -29.4166666666667 385.898180037567 28.7360000610352 151 124
"100" 3 0 -49.5833333333333 -25.5833333333333 296.986568298862 26.3242492675781 178 71
"101" 1 0 -52.75 -24.0833333333333 285.763860359602 29.0152492523193 170 77
"102" 3 0 -46.4166666666667 -23.9166666666667 240.292112835886 30.2969093322754 332 106
"103" 3 0 -50.5833333333333 -26.75 317.553858562275 24.3169994354248 166 93
"104" 1 0 -54.0833333333333 -28.4166666666667 387.103950621682 30.5564994812012 186 134
"105" 3 0 -46.0833333333333 -21.9166666666667 226.338271967341 28.5310001373291 297 29
"106" 2 0 -41.25 -22.0833333333333 198.995155273722 31.1287746429443 151 32
"107" 1 0 -48.9166666666667 -25.25 283.783522681247 26.2917499542236 237 80
"108" 3 0 -52.75 -26.0833333333333 343.132846559688 28.3819999694824 203 116
"109" 2 0 -42.5833333333333 -19.4166666666667 198.955433898811 31.0235004425049 264 13
"110" 3 0 -50.0833333333333 -24.4166666666667 279.939472632517 27.369499206543 193 68
"111" 1 0 -49.5833333333333 -25.9166666666667 309.337915574095 26.3034992218018 154 73
"112" 1 0 -43.75 -17.9166666666667 170.770457696477 26.8902492523193 253 9
"113" 1 0 -55.0833333333333 -29.25 405.752849282872 30.0582504272461 170 124
"114" 3 0 -50.25 -26.9166666666667 319.124756432649 24.6690006256104 170 94
"115" 3 0 -50.4166666666667 -25.0833333333333 300.496806038463 27.589750289917 156 76
"116" 2 0 -51.5833333333333 -27.5833333333333 340.728781761882 27.1984996795654 198 104
"117" 2 0 -51.75 -30.25 375.798674389999 27.7802505493164 141 101
"118" 2 0 -54.0833333333333 -26.4166666666667 365.589874258944 29.0275001525879 187 117
"119" 2 0 -44.75 -21.5833333333333 224.162631487583 29.0197505950928 311 18
"120" 2 0 -49.0833333333333 -25.25 283.053130039769 26.42799949646 225 80
"121" 2 0 -50.4166666666667 -28.9166666666667 308.533091390987 25.023250579834 171 121
"122" 1 0 -52.5833333333333 -29.25 366.219185577811 27.1207504272461 172 79
"123" 1 0 -50.25 -28.25 306.172604137363 24.4090003967285 149 100
"124" 2 0 -54.5833333333333 -32.0833333333333 453.018105824919 29.2897491455078 124 93
"125" 1 0 -39.25 -16.5833333333333 155.18409649999 29.9249992370605 149 88
"126" 2 0 -53.75 -28.4166666666667 377.151442477941 30.0174999237061 187 129
"127" 2 0 -49.25 -21.9166666666667 250.396319289513 31.3624992370605 210 24
"128" 3 0 -43.0833333333333 -17.4166666666667 177.204902345152 29.5127506256104 238 5
"129" 2 0 -39.75 -17.4166666666667 166.61925026788 30.8482494354248 137 58
"130" 2 0 -42.25 -22.9166666666667 213.967518732785 29.2265625 154 29
