"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.76430156;0.62637951;0.62642391;0.39602222;0.66963311;0.62724222;0.508108108108108;0.294294294294294;"maxent";1
0.01354257;0.00560569;0.00560569;0.01354257;0.0062599;0.00566845;0.598882681564246;0.315642458100559;"svm";1
0.80474551;0.80474551;0.80474551;0.29904442;0.80498238;0.80498238;0.904191616766467;0.865269461077844;"maxent";2
0.01285927;0.01078501;0.00876948;0.01285927;0.01051184;0.00880141;0.754370629370629;0.575174825174825;"svm";2
0.61977317;0.61977317;0.61980374;0.4243664;0.67354305;0.61991783;0.41981981981982;0.27027027027027;"maxent";3
0.01300935;0.00966736;0.0054028;0.01381082;0.00801306;0.00548499;0.691573033707865;0.397752808988764;"svm";3
