"cv1" "cv2" "cv3" "cv4" "pa" "lon" "lat" "wc2.0_bio_10m_01" "wc2.0_bio_10m_04" "wc2.0_bio_10m_05" "wc2.0_bio_10m_09" "wc2.0_bio_10m_13" "wc2.0_bio_10m_14" "wc2.0_bio_10m_19"
"48" 2 2 2 2 0 -43.4166666666667 -21.4166666666667 19.8344480196635 211.029005608285 28.8700008392334 17.1302499771118 279 17 58
"49" 3 1 3 3 0 -48.9166666666667 -25.75 18.1632916927338 285.90178717996 26.6809997558594 14.7507918675741 236 83 271
"50" 2 2 1 1 0 -48.9166666666667 -26.0833333333333 18.4785938262939 290.311383476965 26.9267501831055 15.0097082455953 237 85 280
"51" 1 1 3 1 0 -48.4166666666667 -27.9166666666667 20.2375000317891 307.409462819981 28.1000003814697 17.483333269755 180 108 347
"52" 2 1 1 1 0 -42.75 -21.9166666666667 21.3449478546778 236.29387620354 30.8334999084473 18.3022915522257 263 19 62
"53" 1 3 2 3 0 -39.75 -16.4166666666667 23.7650000254313 161.243644599059 30.1827507019043 21.536208152771 134 46 178
"54" 1 1 3 3 0 -39.25 -17.5833333333333 24.5657745997111 163.323789895076 30.437463760376 22.5017366409302 172 73 280
"55" 3 1 2 2 0 -41.25 -20.0833333333333 19.6409896612167 209.095252430211 29.2290000915527 16.8782501220703 210 33 118
"56" 3 1 2 3 0 -40.75 -19.0833333333333 23.1418958902359 190.643680619578 31.4107494354248 20.6430837313334 187 28 110
"57" 1 2 1 1 0 -46.0833333333333 -23.0833333333333 18.6644271214803 243.191479710601 27.1145000457764 15.5190415382385 244 32 119
"58" 1 3 2 2 0 -49.4166666666667 -28.25 17.9398227930069 312.101220349311 27.6637496948242 14.5883331298828 187 84 285
"59" 2 1 1 2 0 -46.4166666666667 -21.25 19.563156247139 233.63290296926 29.3600006103516 16.3660831451416 265 19 70
"60" 1 2 3 1 0 -49.5833333333333 -27.0833333333333 18.1520729462306 328.653960055575 27.701000213623 14.4300001462301 178 102 354
"61" 1 3 3 2 0 -43.75 -20.0833333333333 19.0933957497279 192.236150603495 27.9179992675781 16.4531668027242 318 13 45
"62" 2 1 3 2 0 -40.5833333333333 -16.9166666666667 23.3206666310628 180.946421179052 31.1272506713867 20.7623748779297 161 33 108
"63" 2 3 2 2 0 -40.4166666666667 -16.75 21.7505937019984 171.584102652737 29.4064998626709 19.3078749974569 135 43 137
"64" 3 3 2 1 0 -50.75 -26.75 14.5868229866028 317.173468931986 24.3560009002686 10.8739167054494 164 94 345
"65" 3 1 1 3 0 -40.4166666666667 -18.75 23.5910625855128 185.894894299463 31.535249710083 21.1659169197083 178 37 138
"66" 2 3 2 2 0 -49.25 -26.0833333333333 16.3882602453232 307.693502165342 25.2352504730225 12.7498329480489 184 82 289
"67" 2 3 3 2 0 -45.5833333333333 -21.9166666666667 19.4040000836054 255.8826752678 30.0594997406006 15.9797085126241 290 23 96
"68" 1 1 2 1 0 -39.5833333333333 -16.9166666666667 23.9935729503632 156.326115882811 30.2842502593994 21.8781251907349 144 63 224
"69" 3 3 2 2 0 -49.9166666666667 -28.4166666666667 14.5698749224345 296.195483788068 23.2019996643066 12.7480417092641 163 106 381
"70" 1 2 3 2 0 -49.0833333333333 -25.25 17.4291353225708 283.053130039769 26.42799949646 13.9684998194377 225 80 268
"71" 1 3 2 3 0 -40.4166666666667 -18.4166666666667 23.7363855044047 183.386977999938 31.644250869751 21.3179165522257 174 36 137
"72" 1 2 3 1 0 -44.25 -21.4166666666667 19.1772914727529 220.132255651462 28.9659996032715 16.2717499732971 298 15 52
"73" 2 3 1 3 0 -48.75 -26.25 20.6336604356766 296.113861028282 28.724573135376 17.1436862945557 258 82 266
"74" 1 2 2 2 0 -45.25 -22.5833333333333 16.4074376424154 270.136740851199 27.28125 12.8793334960938 294 28 113
"75" 1 1 2 2 0 -40.5833333333333 -18.4166666666667 23.6545938253403 184.769313983945 31.8285007476807 21.2010000546773 177 32 125
"76" 3 1 3 2 0 -40.4166666666667 -17.75 23.9816667238871 179.153797294907 31.7432498931885 21.5467084248861 166 35 127
"77" 3 2 1 1 0 -50.4166666666667 -29.75 18.0590207576752 328.203308760906 26.7350006103516 19.1785833040873 161 104 430
"78" 1 1 2 1 0 -39.25 -16.75 24.2574687798818 155.194125096079 30.0725002288818 26.0515000025431 149 85 334
"79" 1 2 1 2 0 -47.4166666666667 -23.9166666666667 17.394770860672 247.935284301614 25.3962497711182 14.2771666844686 270 68 211
"80" 2 3 3 3 0 -41.9166666666667 -19.0833333333333 23.5006873210271 185.915093783025 32.3257484436035 20.9791251818339 214 20 63
"81" 3 3 2 2 0 -41.4166666666667 -19.0833333333333 22.8835731347402 186.446072000801 31.4330005645752 20.3704586029053 199 22 79
"82" 1 2 2 1 0 -41.75 -22.0833333333333 23.028458237648 218.634917578072 31.986499786377 20.2954584757487 196 30 103
"83" 2 2 1 1 0 -50.9166666666667 -25.9166666666667 16.4330936868985 317.09125062821 25.9130001068115 12.5859582424164 171 90 322
"84" 2 2 3 2 0 -42.75 -22.9166666666667 22.4187430143356 212.830809078182 30.4030303955078 20.1318739255269 186 23 107
"85" 2 2 1 3 0 -40.4166666666667 -17.25 23.8282396396001 179.69129372432 31.7007503509521 21.3287084897359 166 40 136
"86" 1 1 2 3 0 -42.5833333333333 -20.9166666666667 18.6640935738881 235.463069094235 28.5157508850098 15.5169998804728 246 20 70
