taxon;lon;lat
"Ocotea divaricata (Nees) Mez";-43.4661111;-22.5752778
"Ocotea divaricata (Nees) Mez";-40.5527778;-19.9088889
"Ocotea divaricata (Nees) Mez";-42.3461111;-22.5322223
"Ocotea divaricata (Nees) Mez";-42.3461111;-22.5322223
"Ocotea divaricata (Nees) Mez";-40.525;-20.2677778
"Ocotea divaricata (Nees) Mez";-43.2;-22.9
"Ocotea divaricata (Nees) Mez";-40.5333333;-19.9666667
"Ocotea divaricata (Nees) Mez";-40.5333333;-19.9666667
"Ocotea divaricata (Nees) Mez";-40.5333333;-19.9666667
"Ocotea divaricata (Nees) Mez";-43.1236111;-22.5705556
"Ocotea divaricata (Nees) Mez";-43.2666667;-22.55
"Ocotea divaricata (Nees) Mez";-43.2666667;-22.55
"Ocotea divaricata (Nees) Mez";-43.2666667;-22.55
"Ocotea divaricata (Nees) Mez";-43.2666667;-22.55
"Ocotea divaricata (Nees) Mez";-41.2458333;-20.3736111
"Ocotea divaricata (Nees) Mez";-39.3911111;-15.1972222
"Ocotea divaricata Mez";-40.549111;-19.901681
"Ocotea divaricata Mez";-39.566111;-15.395833
"Ocotea divaricata Mez";-44.848611;-23.335833
"Ocotea divaricata Mez";-40.525;-20.268
"Ocotea divaricata (Nees) Mez";-43;-22.4483333
"Ocotea divaricata (Nees) Mez";-43.0130556;-22.4636111
"Ocotea divaricata (Nees) Mez";-42.3513732910156;-20.9185908757245
"Ocotea divaricata (Nees) Mez";-42.5668492301758;-22.2893773330512
"Ocotea divaricata Mez";-44.3243408203124;-22.697654078335
