"group.all" "pa" "lon" "lat" "X1Km_.eigenvariables.1" "X1Km_.eigenvariables.2" "X1Km_.eigenvariables.3" "X1Km_.eigenvariables.4" "X1Km_.eigenvariables.5" "X1Km_.eigenvariables.6" "X1Km_.eigenvariables.7" "X1Km_.eigenvariables.8" "X1Km_.eigenvariables.9" "X1Km_.eigenvariables.10"
"39" 2 1 -50.212736 -29.976883 15.5023132094948 -5.93278084542225 -8.98222419177208 8.91757231895392 -3.59756602250625 3.71548670589018 -2.46242203666627 5.88090418778016 3.12635392961906 2.97424128470031
"40" 1 1 -36.435015 -9.244547 16.6129794655351 -10.3562793565762 -10.2928476785475 4.70521237194003 -3.3771602080509 0.532204889523124 0.138388120943581 6.41903229755254 1.93738527909861 3.95949510973578
"41" 1 1 -42.5494444 -22.5222223 17.4709533442695 -10.7861240349761 -11.257870552781 7.40854653924906 -5.99601301616503 1.54506476570308 -1.14138876978174 8.19259817787836 2.31949255059211 1.00825970303937
"1100" 1 0 -44.765559082 -14.078896484 16.8757631201862 -15.2468205696438 -12.8852726592157 6.46441933608145 -4.92818428253942 1.0219761676547 -0.121442683865496 8.40479196201811 3.06854359386783 4.00243235994916
"2" 2 0 -46.835559082 -22.558896484 14.4270489976893 -9.7035964448932 -13.9900196329699 5.80389102653758 -4.53453391525369 0.588646586047842 -0.0363741542313486 7.8633703056528 3.93983526645725 2.41144233013774
"3" 2 0 -40.495559082 -13.348896484 12.9317518500286 -10.270785142091 -9.30847538483596 2.98516516948441 -4.28591044137775 1.00937703383653 -0.499608166406581 8.6812682407636 4.66377982962706 2.69194083482775
"4100" 3 0 -47.075559082 -20.208896484 14.7174734991123 -9.76378238292479 -13.849521019432 3.54352440343125 -4.42417737956481 0.873350887938775 -0.207783568787998 8.69792286798054 2.30260938490936 1.98527259555293
"5100" 3 0 -46.265559082 -19.248896484 15.036405276711 -10.4249933505871 -14.9093482738318 4.75543053096852 -3.55040845049527 0.300886163841512 0.310895945285063 7.73151189486464 4.93460940859079 2.68878159499942
"6" 3 0 -46.475559082 -17.478896484 17.8410600136266 -13.2773648811634 -14.0715095741081 6.70541631625993 -5.04612049889323 0.373236959484444 0.3071371541 8.48700973146269 3.94286068868632 2.72912361175753
"7" 2 0 -38.765559082 -9.698896484 15.4271761794638 -14.2087660907629 -9.45437439877003 7.25798839423233 -4.58578889142754 0.680441051284256 0.440090942599809 8.61989903597823 3.01177041076663 4.09598588424101
"8100" 1 0 -44.325559082 -15.468896484 17.9870717781208 -15.4204484974079 -12.8800076490198 9.04791360038461 -3.14362984072898 -3.21442299271054 -1.65454947172668 8.3792930499902 3.68539927108189 2.6990714163865
"9100" 1 0 -50.235559082 -23.768896484 14.5015930630166 -9.43947851291752 -12.5889213463758 6.98496440461092 -6.19366103803516 1.69709658432673 -1.27192687692115 9.14530205301104 2.92558078117342 3.2236076963881
"1010" 1 0 -36.535559082 -7.058896484 15.9296727933342 -15.0015098592193 -8.67873379441478 5.44707149300929 -3.58526135375679 0.35214873816726 0.768029181504925 8.11398276450646 2.60481070996626 3.19473102181293
