taxon;lon;lat
"Tapirira guianensis Aubl.";-46.3333333;-15.5
"Tapirira guianensis Aubl.";-46.3333333;-13.6666667
"Tapirira guianensis Aubl.";-43.0405555;-16.8580556
"Tapirira guianensis Aubl.";-43.0405555;-16.8572222
"Tapirira guianensis Aubl.";-46.25;-19.3333333
"Tapirira guianensis Aubl.";-46.25;-19.3333333
"Tapirira guianensis Aubl.";-48.4269445;-14.3405555
"Tapirira guianensis Aubl.";-55.03;-9.3636111
"Tapirira guianensis Aubl.";-42.2691667;-22.5005556
"Tapirira guianensis Aubl.";-42.275;-22.5055556
"Tapirira guianensis Aubl.";-42.3461111;-22.5322223
"Tapirira guianensis Aubl.";-42.0425;-22.9436111
"Tapirira guianensis Aubl.";-41.0188889;-21.2072222
"Tapirira guianensis Aubl.";-46.6172223;-8.5491666
"Tapirira guianensis Aubl.";-42.3477777;-22.5258334
"Tapirira guianensis Aubl.";-42.3477777;-22.5258334
"Tapirira guianensis Aubl.";-42.4244445;-22.9205556
"Tapirira guianensis Aubl.";-72.9625;-7.5980556
"Tapirira guianensis Aubl.";-34.85;-7.1
"Tapirira guianensis Aubl.";-34.85;-7.1
"Tapirira guianensis Aubl.";-43.59;-20.4633333
"Tapirira guianensis Aubl.";-60.0005556;-13.1247223
"Tapirira guianensis Aubl.";-42.6019444;-22.9316667
"Tapirira guianensis Aubl.";-42.0166667;-20.7166667
"Tapirira guianensis Aubl.";-42.0166667;-20.7166667
"Tapirira guianensis Aubl.";-48.7805556;-2.2033333
"Tapirira guianensis Aubl.";-54.9313889;-2.5186111
"Tapirira guianensis Aubl.";-54.9577778;-2.4947222
"Tapirira guianensis Aubl.";-47.4930555;-15.9783334
"Tapirira guianensis Aubl.";-47.98;-15.7575
"Tapirira guianensis Aubl.";-34.9686111;-8.0786111
"Tapirira guianensis Aubl.";-42.7369444;-22.4011111
"Tapirira guianensis Aubl.";-43.7352777;-22.3586111
"Tapirira guianensis Aubl.";-43.7330556;-22.3547222
"Tapirira guianensis Aubl.";-43.7327778;-22.3538889
"Tapirira guianensis Aubl.";-46.6211111;-10.3672223
"Tapirira guianensis Aubl.";-42.5752778;-15.1127778
"Tapirira guianensis Aubl.";-47.3813889;-6.9325
"Tapirira guianensis Aubl.";-47.7713889;-12.9
"Tapirira guianensis Aubl.";-43.0288889;-16.3169445
"Tapirira guianensis Aubl.";-42.4405555;-22.925
"Tapirira guianensis Aubl.";-47.9188889;-15.7369444
"Tapirira guianensis Aubl.";-34.9666667;-7.1
"Tapirira guianensis Aubl.";-41.0463889;-21.7980555
"Tapirira guianensis Aubl.";-34.9925;-7.8122222
"Tapirira guianensis Aubl.";-50.3666667;-22.5833333
"Tapirira guianensis Aubl.";-35.1888889;-5.9291667
"Tapirira guianensis Aubl.";-41.1166667;-12.0166667
"Tapirira guianensis Aubl.";-47.6327778;-14.1647222
"Tapirira guianensis Aubl.";-41.0188889;-21.2072222
"Tapirira guianensis Aubl.";-40.0372222;-19.2761111
